date,agriculture,energy,industrial_processes,lulucf,net,total,waste
2014-01-01,11095.67,255079.75,20235.4,-249952.54,64835.93,314788.47,28377.66
2015-01-01,10647.03,256850.16,22243.93,-244032.12,74492.91,318525.03,28783.91
2016-01-01,10711.36,253850.16,23746.04,-215375.05,98804.4,314179.45,26565.41
2017-01-01,11063.54,252710.49,24203.62,-243369.73,73193.32,316563.05,28585.4
2018-01-01,10690.29,255231.55,26697.07,-241264.08,79602.7,320866.78,28247.87
2019-01-01,9921.71,259326.11,32853.8,-214714.54,115643.68,330358.21,28256.59
2020-01-01,,,,,,323378.81,
2021-01-01,,,,,,325705.28,
