Location,Dim1,Value
United Arab Emirates,"Infectious, parasitic, neonatal and nutritional",82
Ethiopia,"Infectious, parasitic, neonatal and nutritional",82 032
Uganda,Total,82 298
Mongolia,Injuries,825
Azerbaijan,"Infectious, parasitic, neonatal and nutritional",826
Grenada,Noncommunicable diseases,83
Mexico,Total,83 582
Portugal,Injuries,834
Egypt,Noncommunicable diseases,84 308
Philippines,Noncommunicable diseases,84 891
Seychelles,Total,86
Serbia,Injuries,860
Nigeria,Noncommunicable diseases,87 248
Iran (Islamic Republic of),Total,87 302
Norway,"Infectious, parasitic, neonatal and nutritional",89
Austria,Injuries,897
Dominican Republic,"Infectious, parasitic, neonatal and nutritional",897
Cyprus,"Infectious, parasitic, neonatal and nutritional",9
Marshall Islands,Injuries,9
Saint Kitts and Nevis,Injuries,9
Togo,"Infectious, parasitic, neonatal and nutritional",9 134
Niger,Noncommunicable diseases,9 144
Rwanda,"Infectious, parasitic, neonatal and nutritional",9 148
Malawi,Noncommunicable diseases,9 165
Iraq,Injuries,9 167
Venezuela (Bolivarian Republic of),Injuries,9 226
Chile,Noncommunicable diseases,9 337
Dominican Republic,Total,9 361
Cameroon,Injuries,9 489
Austria,Total,9 552
Bosnia and Herzegovina,Total,9 681
Portugal,Noncommunicable diseases,9 683
Eritrea,Total,9 818
Nepal,"Infectious, parasitic, neonatal and nutritional",9 829
Yemen,"Infectious, parasitic, neonatal and nutritional",9 940
Hungary,"Infectious, parasitic, neonatal and nutritional",90
United Republic of Tanzania,Total,90 210
Germany,Noncommunicable diseases,90 544
Kuwait,Noncommunicable diseases,900
Belize,Noncommunicable diseases,91
Cabo Verde,Injuries,91
Gambia,Noncommunicable diseases,911
Fiji,Total,918
Denmark,"Infectious, parasitic, neonatal and nutritional",92
Micronesia (Federated States of),Total,92
Tonga,Total,92
Bulgaria,Injuries,923
Cyprus,Injuries,93
Thailand,Total,93 823
Bahrain,Injuries,94
Lebanon,"Infectious, parasitic, neonatal and nutritional",94
Viet Nam,Noncommunicable diseases,94 987
Botswana,Noncommunicable diseases,944
Turkmenistan,"Infectious, parasitic, neonatal and nutritional",956
Sweden,Injuries,965
Oman,Noncommunicable diseases,969
South Africa,Total,97 408
Ecuador,"Infectious, parasitic, neonatal and nutritional",973
Nigeria,Injuries,98 218
Germany,Total,98 870
Kazakhstan,"Infectious, parasitic, neonatal and nutritional",981
Trinidad and Tobago,Noncommunicable diseases,986
Samoa,Noncommunicable diseases,99
Namibia,"Infectious, parasitic, neonatal and nutritional",991
Azerbaijan,Injuries,993
